Gene1,Gene2
MRPS7,MRPL50
MRPS7,MRPL10
MRPS7,MRPL55
MRPS7,MRPL28
MRPS7,MRPL57
MRPS7,MRPL42
MRPS7,MRPL35
MRPS7,MRPL39
MRPS7,MRPL52
MRPS7,OXA1L
VAMP2,STX3
VAMP2,STX2
VAMP2,STX1B
VAMP2,CPLX1
VAMP2,SYT5
VAMP2,SLC2A4
VAMP2,PPFIA3
VAMP2,PPFIA1
VAMP2,PPFIA4
VAMP2,PPFIA2
VAMP2,YWHAG
VAMP2,YWHAZ
VAMP2,YWHAE
VAMP2,YWHAQ
VAMP2,YWHAB
VAMP2,YWHAH
GTF2E2,GTF2F1
GTF2E2,GTF2F2
GTF2E2,GTF2H4
GTF2E2,GTF2H3
GTF2E2,POLR2A
GTF2E2,GTF2H5
GTF2E2,POLR2B
GTF2E2,POLR2C
GTF2E2,POLR2D
GTF2E2,POLR2G
GTF2E2,GTF2H2
GTF2E2,POLR2E
GTF2E2,POLR2K
GTF2E2,POLR2F
GTF2E2,POLR2I
GTF2E2,POLR2L
GTF2E2,MNAT1
GTF2E2,GTF2H1
GTF2E2,POLR2J
GTF2E2,POLR2H
GTF2E2,INTS10
GTF2E2,SSU72
GTF2E2,PCF11
GTF2E2,SUPT4H1
GTF2E2,INTS12
GTF2E2,INTS9
GTF2E2,INTS6
GTF2E2,INTS8
GTF2E2,INTS1
GTF2E2,INTS5
GTF2E2,INTS4
GTF2E2,INTS7
GTF2E2,INTS2
GTF2E2,INTS3
GTF2E2,ICE1
GTF2E2,ELL3
GTF2E2,ICE2
GTF2E2,NABP2
GTF2E2,ELL2
GTF2E2,ZC3H8
GTF2E2,NABP1
HEATR1,NOL6
HEATR1,NOP58
HEATR1,UTP20
HEATR1,RRP9
HEATR1,UTP18
HEATR1,NOP14
HEATR1,BMS1
HEATR1,PDCD11
HEATR1,NOP56
HEATR1,PWP2
HEATR1,WDR3
HEATR1,DCAF13
HEATR1,TBL3
HEATR1,WDR46
HEATR1,UTP6
HEATR1,FBL
HEATR1,MPHOSPH10
HEATR1,NOC4L
HEATR1,KRR1
HEATR1,UTP3
HEATR1,EMG1
HEATR1,UTP14A
HEATR1,RRP7A
HEATR1,IMP4
HEATR1,RCL1
HEATR1,IMP3
HEATR1,DHX37
HEATR1,DDX52
HEATR1,RBM28
HEATR1,DDX49
HEATR1,RPS6
HEATR1,RPS9
HEATR1,RPS14
HEATR1,RPS7
HEATR1,DDX47
