AASS,MSH6
AASS,QSOX1
AASS,WDR77
AASS,SLC2A1
AASS,ARID1A
AASS,RAB14
AASS,FBXW2
AASS,ETF1
AASS,DPPA4
AASS,WWP1
AASS,LRRFIP1
AASS,DOK4
AASS,POT1
AASS,PGLS
AASS,NOL11
AASS,VPS25
AASS,UBE2G1
AASS,RTN3
AASS,RRAS2
AASS,ARL8B
AASS,TBC1D4
AASS,DNAJC1
AASS,KIF20B
AASS,RPS24
AASS,PIANP
AASS,ARHGAP17
AASS,UTP4
AASS,PSMA5
AASS,XPR1
AASS,ATP8B2
AASS,RAB5A
AASS,GOLGA4
AASS,MARCHF6
AASS,RPS3
AASS,HYOU1
AASS,FREM2
AASS,UBC
AASS,DST
AASS,CERS3
AASS,PRKCA
AASS,OXA1L
AASS,EEF1A1
AASS,FAM131B
AASS,UBQLN4
AASS,UBXN1
AASS,FUBP1
AASS,S100A11
AASS,FSTL1
AASS,AZI2
AASS,ACAA2
AASS,DNAJC7
AASS,CLIC4
AASS,CKAP2L
AASS,DENND5B
AASS,RPS9
AASS,MRPL57
AASS,DDX23
AASS,CTBP2
AASS,MRFAP1
AASS,PDXDC1
AASS,OAZ2
AASS,EXT1
AASS,ZNRF1
AASS,UBE2H
AASS,COL4A5
AASS,NDUFA4
AASS,ZNF398
AASS,SND1
AASS,RPS26
AASS,ASPH
AASS,DDX39B
AASS,MT-CO2
AASS,MT-CO1
AASS,MT-ND1
AASS,SGMS1
AASS,VPS52
AASS,RPL41
AASS,CSDE1
AASS,CLCN6
AASS,SEC61A1
AASS,MCM10
AASS,CNOT4
AASS,CAD
AASS,CBX5
AASS,MSH2
AASS,CDC34
AASS,MTAP
AASS,SRSF5
AASS,PSMB5
AASS,GID8
AASS,UBE2I
AASS,CDIPT
AASS,ESRP1
AASS,VRK3
AASS,ETHE1
AASS,CHCHD3
AASS,PPIF
AASS,MTMR4
AASS,GAB1
AASS,FBXW7
AASS,GCNT2
AASS,FBXO9
AASS,RTN4
AASS,GON4L
AASS,MFAP2
AASS,CREB1
AASS,DCLRE1B
AASS,TUBA1B
AASS,UROD
AASS,IRF3
AASS,CANX
AASS,COLGALT1
AASS,FLOT2
AASS,XPO4
AASS,TPT1
AASS,OS9
AASS,SERPINE2
AASS,LMO7
AASS,SRSF1
AASS,YME1L1
AASS,RPS6
AASS,ZFHX3
AASS,HSPD1
AASS,RPL32
AASS,PABPC3
AASS,MBNL1
AASS,ZNF599
AASS,CACNA2D3
AASS,APPL1
AASS,CRTC2
AASS,HHIP
AASS,RICTOR
