Gene1,stId,name,Gene2,connected_driver_gene,gene_type,expression_matrix
ACVR2B,ACVR2B,ACVR2B,SMAD5,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,SMAD9,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,BMP4,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,CER1,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,INHBA,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,INHBB,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,INHBC,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,LEFTY1,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,LEFTY2,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,MSTN,,3,1.0176847797806652
ACVR2B,ACVR2B,ACVR2B,NODAL,,3,1.0176847797806652
ACVRL1,ACVRL1,ACVRL1,CAV1,CAV1,2,-1.039258354720864
ACVRL1,ACVRL1,ACVRL1,PPP1CA,,3,-1.039258354720864
ADAM10,ADAM10,ADAM10,DLL4,,3,0.5304876756772127
ADAM10,ADAM10,ADAM10,DTX1,,3,0.5304876756772127
ADAM10,ADAM10,ADAM10,FAM20C,,3,0.5304876756772127
ADAM10,ADAM10,ADAM10,JAG1,,3,0.5304876756772127
ADAM10,ADAM10,ADAM10,FAM20A,,3,0.5304876756772127
ADAM17,ADAM17,ADAM17,BTC,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,DLL1,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,HBEGF,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,NRG3,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,NRG4,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,SORT1,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,ZNF274,,3,0.5520256703589781
ADAM17,ADAM17,ADAM17,PRKCB,PRKCB,2,0.5520256703589781
ADAMTS14,ADAMTS14,ADAMTS14,COL11A1,,3,0.8973276528211687
ADAMTS14,ADAMTS14,ADAMTS14,COL11A2,,3,0.8973276528211687
ADAMTS14,ADAMTS14,ADAMTS14,COL24A1,,3,0.8973276528211687
ADAMTS14,ADAMTS14,ADAMTS14,COL27A1,,3,0.8973276528211687
ADAMTS14,ADAMTS14,ADAMTS14,COL5A3,,3,0.8973276528211687
ADAMTS2,ADAMTS2,ADAMTS2,COL11A1,,3,-0.3576540628786055
ADAMTS2,ADAMTS2,ADAMTS2,COL11A2,,3,-0.3576540628786055
ADAMTS2,ADAMTS2,ADAMTS2,COL24A1,,3,-0.3576540628786055
ADAMTS2,ADAMTS2,ADAMTS2,COL27A1,,3,-0.3576540628786055
ADAMTS2,ADAMTS2,ADAMTS2,COL5A3,,3,-0.3576540628786055
ADAMTS4,ADAMTS4,ADAMTS4,BCAN,,3,-1.898554301873621
ADAMTS5,ADAMTS5,ADAMTS5,BCAN,,3,-2.438387071474745
ADAMTS5,ADAMTS5,ADAMTS5,POFUT2,,3,-2.438387071474745
ADAP1,ADAP1,ADAP1,KIF13B,,0,0.0752269741131566
ADCY1,ADCY1,ADCY1,CAP1,,3,0.5919829283989284
ADIPOR1,ADIPOR1,ADIPOR1,APPL1,,3,0.1300654542060004
ADIPOR1,ADIPOR1,ADIPOR1,MLXIPL,,3,0.1300654542060004
ADIPOR2,ADIPOR2,ADIPOR2,APPL1,,3,-0.1101624080550781
ADIPOR2,ADIPOR2,ADIPOR2,MLXIPL,,3,-0.1101624080550781
ADM,ADM,ADM,ADORA2B,,3,0.175222189679339
ADM,ADM,ADM,CALCR,,3,0.175222189679339
ADM,ADM,ADM,GNAS,GNAS,2,0.175222189679339
ADM,ADM,ADM,RAMP3,,3,0.175222189679339
ADORA2B,ADORA2B,ADORA2B,GPR15,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,GPR176,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,GPR25,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,GPR45,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,GPR84,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,HRH2,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,HTR4,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,HTR6,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,PTGER2,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,PTGER4,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,PTGIR,,3,0.3276710864970105
ADORA2B,ADORA2B,ADORA2B,TAAR1,,3,0.3276710864970105
AFG3L2,AFG3L2,AFG3L2,SMDT1,,3,-0.120146630247655
AGER,AGER,AGER,DIAPH1,,3,0.1061004248943437
AGER,AGER,AGER,NFKB2,NFKB2,2,0.1061004248943437
AGL,AGL,AGL,GYG1,,3,-1.0152790224723387
AGL,AGL,AGL,GYG2,,3,-1.0152790224723387
AGRN,AGRN,AGRN,DAG1,,3,1.9964879800948487
AGRN,AGRN,AGRN,RAC1,RAC1,2,1.9964879800948487
AGRN,AGRN,AGRN,B3GALT6,,3,1.9964879800948487
AGRN,AGRN,AGRN,B3GAT1,,3,1.9964879800948487
AGRN,AGRN,AGRN,B3GAT2,,3,1.9964879800948487
AGRN,AGRN,AGRN,B3GAT3,,3,1.9964879800948487
AGRN,AGRN,AGRN,B4GALT7,,3,1.9964879800948487
AGRN,AGRN,AGRN,EXT1,EXT1,2,1.9964879800948487
AGRN,AGRN,AGRN,EXT2,EXT2,2,1.9964879800948487
AGRN,AGRN,AGRN,GLCE,,3,1.9964879800948487
AGRN,AGRN,AGRN,HPSE,,3,1.9964879800948487
AGRN,AGRN,AGRN,HPSE2,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS2ST1,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS3ST1,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS3ST2,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS3ST3A1,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS3ST3B1,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS3ST5,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS3ST6,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS6ST1,,3,1.9964879800948487
AGRN,AGRN,AGRN,HS6ST2,,3,1.9964879800948487
AGRN,AGRN,AGRN,LRP1,,3,1.9964879800948487
AGRN,AGRN,AGRN,LRP2,,3,1.9964879800948487
AGRN,AGRN,AGRN,LRP8,,3,1.9964879800948487
AGRN,AGRN,AGRN,NDST1,,3,1.9964879800948487
AGRN,AGRN,AGRN,NDST2,,3,1.9964879800948487
AGRN,AGRN,AGRN,XYLT1,,3,1.9964879800948487
AGRN,AGRN,AGRN,XYLT2,,3,1.9964879800948487
AKR1C1,AKR1C1,AKR1C1,RBP2,,3,-1.4117081639303526
AKR1C2,AKR1C2,AKR1C2,CYP2A13,,3,-1.9954521252410693
AKR1C2,AKR1C2,AKR1C2,CYP2A6,,3,-1.9954521252410693
AKT1,AKT1,AKT1,AKT1S1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,APPL1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ARNT,,1,-0.2050869542149613
AKT1,AKT1,AKT1,BAD,,1,-0.2050869542149613
AKT1,AKT1,AKT1,BCL2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,BCL2L1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CASP3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CASP9,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CBFB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CBY1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CDKN1A,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CDKN1B,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CHUK,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CREB1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,CREBBP,,1,-0.2050869542149613
AKT1,AKT1,AKT1,DENND1A,,1,-0.2050869542149613
